OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EYESAT A (AO-27),1993-061C,2025-12-04T16:15:19.459584,14.30872272,0.0007593,98.7159,40.9251,316.2458,43.8122,0,U,22825,999,67918,0.00013201,3.02e-06,0.0
ITAMSAT (IO-26),1993-061D,2025-12-04T15:27:53.351136,14.31292653,0.0007887,98.7105,40.7906,298.1153,61.9232,0,U,22826,999,67948,0.00014027,3.26e-06,0.0
USA 99 (MILSTAR-1 1),1994-009A,2025-12-04T03:14:38.751072,1.00273245,0.00037582,17.3271,29.807,243.8198,118.2516,0,U,22988,999,3100,0.0,-1.97e-06,0.0
RADIO ROSTO (RS-15),1994-085A,2025-12-04T17:01:40.145088,11.27582516,0.0149475,64.8169,257.7362,39.9909,321.1911,0,U,23439,999,27397,0.00019943,-3.5e-07,0.0
UFO 4 (USA 108),1995-003A,2025-12-04T08:35:32.370720,1.00269421,0.0003593,9.6713,13.8627,229.4287,131.2923,0,U,23467,999,11299,0.0,-1.5e-07,0.0
TDRS 7,1995-035B,2025-12-04T12:26:19.512096,1.00270341,0.0003673,13.4585,349.526,77.6854,282.1424,0,U,23613,999,11129,0.0,-2.36e-06,0.0
USA 115 (MILSTAR-1 2),1995-060A,2025-12-04T08:16:53.171040,1.00273332,0.0003189,14.0017,5.1827,269.4502,163.0076,0,U,23712,999,3093,0.0,-1.7e-07,0.0
POLAR,1996-013A,2025-12-01T20:40:09.204096,1.29846141,0.6274469,79.6185,229.2704,215.7594,78.7365,0,U,23802,999,14229,0.0,1.37e-06,0.0
INMARSAT 3-F1,1996-020A,2025-12-04T14:13:24.254112,0.99982157,0.0009019,10.1953,48.394,199.9264,142.6804,0,U,23839,999,10830,0.0,-2.81e-06,0.0
USA 119,1996-029A,2025-12-04T10:48:47.515680,13.45531281,0.0841277,63.3236,341.3553,46.2074,320.5482,0,U,23893,999,7906,0.00046174,2.58e-05,0.0
JAS-2 (FO-29),1996-046B,2025-12-04T15:21:33.261120,13.53262097,0.0348946,98.5467,208.8621,241.0356,115.5384,0,U,24278,999,44685,8.0191e-05,4.1e-07,0.0
INMARSAT 3-F2,1996-053A,2025-12-03T23:52:38.593632,1.0000164,0.00062716,9.4151,55.8945,194.7865,167.1971,0,U,24307,999,10697,0.0,-1.48e-06,0.0
INMARSAT 3-F3,1996-070A,2025-12-04T09:12:29.596032,0.99977403,0.0008681,9.8968,51.4974,203.0097,198.9507,0,U,24674,999,10596,0.0,3e-07,0.0
NAVSTAR 43 (USA 132),1997-035A,2025-12-04T06:09:46.662048,2.00563453,0.0096693,55.8911,106.2007,57.0188,303.8705,0,U,24876,999,20804,0.0,8e-08,0.0
FORTE,1997-047A,2025-12-04T16:50:02.351904,14.27830955,0.0022424,69.9535,93.2737,191.6817,168.3788,0,U,24920,999,47092,0.00025545,5.76e-06,0.0
AMC-3,1997-050A,2025-12-04T04:49:21.381024,1.00270672,0.0003444,7.6681,66.3043,196.8605,170.4411,0,U,24936,999,5048,0.0,-2.51e-06,0.0
USA 134,1997-065A,2025-12-04T04:37:52.480128,1.00269199,0.0006411,12.5515,23.156,262.0389,105.3322,0,U,25019,999,3100,0.0,-5.7e-07,0.0
ORBCOMM FM06,1997-084G,2025-12-04T05:18:18.543744,14.46819702,0.0002716,45.0136,270.8078,337.7656,175.2064,0,U,25118,999,46614,0.0012192,4.318e-05,0.0
INMARSAT 3-F5,1998-006B,2025-12-04T01:29:10.701024,1.00269844,0.00052565,9.2562,55.1709,204.7769,141.5271,0,U,25153,999,10193,0.0,-2.81e-06,0.0
ORBCOMM FM04,1998-007C,2025-12-04T08:19:08.760288,14.352347,0.0042034,107.9635,128.5782,305.8764,53.8477,0,U,25159,999,44863,0.00086648,2.377e-05,0.0
CELESTIS-02 & TAURUS R/B,1998-007D,2025-12-04T16:00:05.539392,14.22410584,0.0059866,108.0101,299.5912,105.9163,337.957,0,U,25160,999,44285,0.00014933,2.1e-06,0.0
TECHSAT 1B (GO-32),1998-043D,2025-12-04T13:23:55.365216,14.24373417,0.0002213,98.9913,321.5819,70.8607,289.281,0,U,25397,999,42362,9.8436e-05,1.81e-06,0.0
WESTPAC,1998-043E,2025-12-04T15:30:41.116608,14.23037668,0.0002231,98.9931,315.3122,66.6903,293.4508,0,U,25398,999,42327,3.213e-05,2.6e-07,0.0
ORBCOMM FM19,1998-046C,2025-12-04T16:04:52.186080,14.3893531,0.0001928,44.9931,87.8086,79.2594,55.3775,0,U,25415,999,42875,0.0011305,3.376e-05,0.0
ORBCOMM FM20,1998-046D,2025-12-04T14:38:10.199328,14.37634579,0.0001195,44.9936,93.9583,172.5564,187.5302,0,U,25416,999,42878,0.00070775,2.003e-05,0.0
ORBCOMM FM27,1998-053G,2025-12-04T12:10:55.248960,14.38622669,0.0001186,45.0036,179.682,46.6074,313.4873,0,U,25481,999,42219,0.00067738,1.952e-05,0.0
SCD 2,1998-060A,2025-12-03T07:34:14.746944,14.45414838,0.0016689,24.9937,200.0088,212.8278,308.9112,0,U,25504,999,43195,0.00010911,5.73e-06,0.0
ISS (ZARYA),1998-067A,2025-12-04T13:02:29.700384,15.49306035,0.0003596,51.6299,183.0583,202.7086,157.3744,0,U,25544,999,54158,0.00029318,0.0001591,0.0
SWAS,1998-071A,2025-12-04T12:07:38.201664,15.07848634,0.000737,69.8977,8.9569,225.4454,134.6108,0,U,25560,999,46790,0.00064716,9.852e-05,0.0
SKYNET 4E,1999-009B,2025-12-03T06:54:03.747168,1.00267921,0.0004258,11.9463,10.1448,241.3515,283.0876,0,U,25639,999,4921,0.0,-2.8e-07,0.0
DLR-TUBSAT,1999-029B,2025-12-04T11:12:50.393088,14.52352831,0.0013447,98.6556,322.726,218.8178,141.2052,0,U,25757,999,40498,8.4989e-05,2.98e-06,0.0
CXO,1999-040B,2025-12-07T07:51:33.757056,0.3780392,0.8152013,52.9844,122.635,310.8652,359.9323,0,U,25867,999,1659,0.0,5.28e-06,0.0
ABS-6,1999-053A,2025-12-04T12:46:17.596704,1.00271303,0.0002552,0.0166,322.5116,295.0222,166.6612,0,U,25924,999,9587,0.0,-1.05e-06,0.0
NAVSTAR 46 (USA 145),1999-055A,2025-12-03T15:02:02.039136,2.00572302,0.0108777,51.6416,304.0188,169.9796,22.8168,0,U,25933,999,19165,0.0,-6.4e-07,0.0
UFO 10 (USA 146),1999-063A,2025-12-04T10:42:38.579904,1.00275594,0.0006436,9.8301,28.2212,236.1375,306.7755,0,U,25967,999,9539,0.0,-1.82e-06,0.0
ORBCOMM FM32,1999-065C,2025-12-04T11:35:57.863040,14.36718921,0.0006384,45.0167,14.5813,184.4011,175.6781,0,U,25982,999,35908,0.00073855,2.056e-05,0.0
XMM-NEWTON,1999-066A,2025-12-04T21:20:36.853152,0.50130195,0.47474678,65.4734,285.5481,68.3398,0.2152,0,U,25989,999,2203,0.0,6.3e-07,0.0
TERRA,1999-068A,2025-12-04T15:53:53.424960,14.60938484,0.0003445,97.976,30.6428,114.1052,0.721,0,U,25994,999,38120,0.00021596,1.013e-05,0.0
ASIASTAR,2000-016A,2025-12-04T03:52:21.708768,1.00270885,0.0005936,8.6748,60.2075,196.6289,339.5332,0,U,26107,999,9396,0.0,-3.24e-06,0.0
IMAGE,2000-017A,2025-12-04T04:59:46.588704,1.68665069,0.7579803,94.0187,312.6028,310.4096,4.7713,0,U,26113,999,15821,0.0060552,-8.3e-07,0.0
USA 149 (DSP 20),2000-024A,2025-12-04T09:43:44.407776,1.00258218,0.0001313,13.0234,13.2139,211.5977,189.8681,0,U,26356,999,3096,0.0,1e-06,0.0
