MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE_A,SAT_TYPE_B,SAT_TYPE_C,SAT_TYPE_D,SAT_TYPE_E,SAT_TYPE_F,SAT_TYPE_G,SAT_TYPE_H,SAT_TYPE_J,SAT_TYPE_K,SAT_TYPE_L,SAT_TYPE_M,SAT_TYPE_N,SAT_TYPE_P,SAT_TYPE_Q,SAT_TYPE_R,SAT_TYPE_S,SAT_TYPE_T,SAT_TYPE_U,SAT_TYPE_V,SAT_TYPE_W,SAT_TYPE_X,SAT_TYPE_Y,SAT_TYPE_Z,CLUSTER
12.44514133,0.0011268,50.0113,25.3788,45.7966,55.4006,45617,2.4022e-05,-9.4e-07,0.0,6942.4683664882095,7865.588134098211,1494.5881340982114,1478.7251893887096,1496.4510788077132,7.118738606398122,39.925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.34039512,0.0012473,98.8964,349.9273,59.6612,300.5803,87450,0.00013538,3.32e-06,0.0,6024.9385931843135,7156.329773802694,785.329773802694,769.4036836758305,787.2558639295576,7.463172409817625,35.925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15.27866357,0.0002049,28.4702,329.9177,143.2197,216.8539,75870,0.00055018,0.00015652,0.0,5654.944858505055,6860.264256173178,489.2642561731782,480.8585880270885,483.6699243192679,7.622513894741053,35.925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.45989788,0.0041788,24.9709,330.4385,235.8251,262.7821,73288,0.00018125,8.49e-06,0.0,5975.14593235841,7116.846624286947,745.8466242869472,709.1067456133769,768.5865029605175,7.483846031317728,32.925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.27463589,0.0007474,98.8022,36.9786,84.1696,36.287,67702,2.0222e-05,4e-08,0.0,6052.69378958569,7178.291065178207,807.2910651782067,794.9260104360928,805.6561199203215,7.451747235337844,32.925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.30872272,0.0007593,98.7159,40.9251,316.2458,43.8122,67918,0.00013201,3.02e-06,0.0,6038.274812554338,7166.886253121425,795.8862531214254,783.4444363894299,794.32806985342,7.457673937024494,32.925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.31292653,0.0007887,98.7105,40.7906,298.1153,61.9232,67948,0.00014027,3.26e-06,0.0,6036.501327586986,7165.482873547388,794.4828735473875,781.8314572050213,793.1342898897537,7.458404204269686,32.925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
13.45531281,0.0841277,63.3236,341.3553,46.2074,320.5482,7906,0.00046174,2.58e-05,0.0,6421.255397034504,7466.8121330285885,1095.8121330285885,460.6464019447994,1716.9778641123776,7.306359460124193,29.925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
13.53262097,0.0348946,98.5467,208.8621,241.0356,115.5384,44685,8.0191e-05,4.1e-07,0.0,6384.5725223175305,7438.347752227697,1067.3477522276971,800.7895827528127,1319.9059217025806,7.320325761754259,29.925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.27830955,0.0022424,69.9535,93.2737,191.6817,168.3788,47092,0.00025545,5.76e-06,0.0,6051.13649465598,7177.059746134223,806.0597461342231,782.9659073594921,815.153584908955,7.4523864305721474,28.925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.46819702,0.0002716,45.0136,270.8078,337.7656,175.2064,46614,0.0012192,4.318e-05,0.0,5971.71851341018,7114.124822140894,743.1248221408941,734.1926258392004,738.0570184425878,7.4852775215408895,28.925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.352347,0.0042034,107.9635,128.5782,305.8764,53.8477,44863,0.00086648,2.377e-05,0.0,6019.9213410879765,7152.35627873003,781.3562787300298,744.2920643480165,804.420493112043,7.465245206535894,27.925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14.22410584,0.0059866,108.0101,299.5912,105.9163,337.957,44285,0.00014933,2.1e-06,0.0,6074.195522155929,7195.28123634176,824.2812363417597,774.2059656922765,860.3565069912429,7.442944154265663,27.925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
