MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE_A,SAT_TYPE_B,SAT_TYPE_C,SAT_TYPE_D,SAT_TYPE_E,SAT_TYPE_F,SAT_TYPE_G,SAT_TYPE_H,SAT_TYPE_J,SAT_TYPE_K,SAT_TYPE_L,SAT_TYPE_M,SAT_TYPE_N,SAT_TYPE_P,SAT_TYPE_Q,SAT_TYPE_R,SAT_TYPE_S,SAT_TYPE_T,SAT_TYPE_U,SAT_TYPE_V,SAT_TYPE_W,SAT_TYPE_X,SAT_TYPE_Y,SAT_TYPE_Z
-2.0282567726449194,0.7123704712467532,1.3644446600377271,-0.9953007468986098,-0.036003961376219286,1.1792138575374693,-0.6712522943754682,0.15748018792192495,-0.029430419941312912,-0.013178202933396067,1.956755381803182,1.9699657593084632,1.9699657593084674,1.907959220672724,2.0074613957255028,-2.0065212718901613,16.750407085776736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.408049284656881,0.49161757108363335,1.3651603488327588,-0.9584137216846451,-0.9324043196234949,1.6429441623577368,5.245826799496872,-0.035488866457676266,-0.03301832460072574,-0.013178202933396067,2.3720007936177647,2.379463647892946,2.37946364789295,2.3443182259055924,2.3861212182610068,-2.3983671150079577,16.750407085776736,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.720369807356281,2.1564555575379023,1.3531870687212788,0.36723278079714916,-0.9234970850981632,1.49511253533973,6.030736997269265,-0.024856498665282542,-0.03297099076616885,-0.013178202933396067,2.724427564709244,2.7251893173771853,2.7251893173771893,2.50579619575393,2.9069163402148868,-2.724009390330652,16.465041473303323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.677391550478747,2.053050079825049,1.3493474950506348,-0.46079355522076276,1.3815712925261885,-1.0883671608536463,6.050403077870071,0.0023809557477538637,-0.0326996101147093,-0.013178202933396067,2.6753262151682446,2.677120641825671,2.677120641825675,2.4692312139699815,2.8482230850378567,-2.6790123032669104,16.465041473303323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4481126414899721,-0.00980267559659584,0.3825341404592453,-0.18483568966984826,1.3620992941019052,-1.3497969531721434,-0.724976108430543,0.5275628287626302,0.0373197535508239,-0.013178202933396067,0.3710678424058074,0.38388082953496194,0.3838808295349658,0.38836662688341567,0.37508473849693497,-0.4224226039858939,15.894310248356495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.653030514332508,0.05556447513947363,0.3853920599042714,-1.065479331411488,1.9063154367366555,-1.890819855867218,6.398892054033775,-0.02194368481469658,-0.03260809803456596,-0.013178202933396067,1.5601794620651064,1.5766624926885968,1.5766624926886006,1.5836210094864782,1.5516783702071693,-1.623737167476179,15.894310248356495,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.6975326034390417,-0.03004624875162235,0.38524215211612267,-0.012432302549531081,-0.7903376358791584,0.7921356624015817,6.373574800846531,-0.03170254973063163,-0.03289525663087781,-0.013178202933396067,1.6065254354569054,1.6227393559781251,1.6227393559781296,1.6393559920418135,1.5878362826759822,-1.668913571884399,15.894310248356495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0380343488995607,1.8243303540976932,1.238739726072493,-1.3183679305139686,-0.06465750749373639,0.07290534819686903,5.3662344500719215,0.03061323762118373,-0.028512143550909103,-0.013178202933396067,0.9378595310593172,0.9549935823605992,0.954993582360603,0.7686395006615245,1.1250689132385692,-1.0053951604614642,14.752847798462842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.013111441860865,0.22799400712607845,1.9338621397174431,1.6052096988259188,-0.21745735588488718,1.4545510924381937,1.5249440706501542,-0.03467167456954175,-0.03334650585365356,-0.013178202933396067,4.298585837503383,4.249815818106347,4.249815818106351,4.257539491683427,4.1931946761171766,-4.106355201656448,13.896750961042603,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9312358400718956,6.539940116863345,-0.5891971567304384,-0.19868624523158118,-0.23258588596334573,0.25262443824805414,3.269272675664158,-0.0507197772599151,-0.033674687106581384,-0.013178202933396067,1.8529388404828884,1.8672172050066882,1.8672172050066922,1.1672944920104493,2.5258724441195217,-1.9071365483376668,13.61138534856919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
