OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33742,2025-063D,2026-02-02T05:42:37.012032,15.30220988,0.00012423,53.1585,216.9886,92.5268,267.5875,0,U,63366,999,4928,0.00081316546,0.00023817,0.0
STARLINK-33734,2025-063E,2026-02-01T22:18:03.156480,15.30203297,0.00011132,53.1586,228.5423,91.2114,268.9014,0,U,63367,999,4909,0.00040768302,0.00011736,0.0
STARLINK-33578,2025-063F,2026-02-02T05:08:25.438848,15.3020557,6.953e-05,53.1592,214.7179,84.3449,275.7631,0,U,63368,999,4930,0.00042118919,0.00012138,0.0
STARLINK-33626,2025-063G,2026-02-01T18:28:17.364288,15.30212548,0.00012252,53.1583,216.9137,70.1137,289.9996,0,U,63369,999,4924,0.00094881001,0.00027858,0.0
STARLINK-33657,2025-063H,2026-02-01T19:13:06.812256,15.30195013,9.182e-05,53.1566,219.2391,99.2362,260.8743,0,U,63370,999,4921,0.00065832144,0.00019186,0.0
STARLINK-33648,2025-063J,2026-02-02T04:51:06.008832,15.30220847,6.43e-05,53.1575,217.4813,97.7046,262.4027,0,U,63371,999,4932,0.00035125952,0.00010065,0.0
STARLINK-33614,2025-063K,2026-02-02T05:05:23.130528,15.30211834,0.00012946,53.1565,214.6984,87.4709,272.644,0,U,63372,999,4936,0.0007528914,0.00022014,0.0
STARLINK-33617,2025-063L,2026-02-01T21:09:01.823040,15.30201143,0.00016204,53.1564,216.1863,88.2718,271.8468,0,U,63373,999,4926,0.00022408241,6.283e-05,0.0
STARLINK-33618,2025-063M,2026-02-01T22:38:32.250048,15.30196264,0.00012378,53.1562,215.8636,85.4293,274.6849,0,U,63374,999,4932,0.00036337097,0.00010417,0.0
STARLINK-33621,2025-063N,2026-02-01T22:37:01.018560,15.30197829,0.00012026,53.1553,215.8591,89.3388,270.775,0,U,63375,999,4927,0.00078917276,0.00023085,0.0
STARLINK-33539,2025-063P,2026-02-01T22:28:41.368224,15.30207806,4.08e-05,53.1576,228.59,85.5443,274.5604,0,U,63376,999,4909,0.00067306374,0.00019633,0.0
STARLINK-33634,2025-063Q,2026-02-02T05:38:04.422624,15.30165485,0.00015905,53.1584,216.9646,95.7573,264.3609,0,U,63377,999,4933,0.00036336159,0.00010406,0.0
STARLINK-33640,2025-063R,2026-02-01T18:47:17.161728,15.30205311,0.0001276,53.1589,219.1222,79.0591,281.0553,0,U,63378,999,4926,0.00065681972,0.00019147,0.0
STARLINK-33636,2025-063S,2026-02-01T21:43:13.855872,15.3020679,2.51e-05,53.1583,218.466,137.8885,222.2135,0,U,63379,999,4923,0.00076451309,0.00022357,0.0
STARLINK-33653,2025-063T,2026-02-01T22:10:35.226048,15.30209947,0.00011809,53.1573,218.585,73.479,286.6341,0,U,63380,999,4923,0.00091731115,0.00026916,0.0
STARLINK-33643,2025-063U,2026-02-01T22:02:58.358400,15.30257593,0.0001413,53.159,218.5505,73.0241,287.0914,0,U,63381,999,4928,0.0017116608,0.00050773,0.0
STARLINK-33633,2025-063V,2026-02-02T06:00:02.000160,15.4315195,0.0003671,53.1578,210.9631,292.7161,291.3061,0,U,63382,999,588,0.0035545808,0.00162954,0.0
STARLINK-33748,2025-063W,2026-02-01T22:13:39.765216,15.30199446,0.00015109,53.1583,229.2459,74.6668,285.4499,0,U,63383,999,4913,0.00081781023,0.0002394,0.0
STARLINK-33658,2025-063X,2026-02-02T04:46:33.270816,15.30209511,0.00011514,53.1572,217.4496,72.3149,287.7977,0,U,63384,999,4932,0.00060798735,0.00017696,0.0
