OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
STARLINK-31023,58522,16.05267011,0.0002522,42.9978,346.4103,252.4536,0.0032932,0.02251018,0.0042236,3,-1,-0.34223715832900536,MEAN_MOTION_DDOT,35.52598654269017
STARLINK-31079,58598,15.43382855,0.002857,42.985,30.1033,165.4529,0.0034395,0.00162531,0.0,4,-1,-0.08083097770758807,ECCENTRICITY,5.948847219223665
HULIANWANG JISHU SHIYAN 4A,58691,13.4145162,4.37e-05,49.9998,278.0921,207.0783,0.00011023,-6.7e-07,0.0,0,-1,-0.008160417741413073,MEAN_MOTION,5.3547175838268934
HULIANWANG JISHU SHIYAN 4B,58692,13.41453109,7.04e-05,49.9966,278.5007,199.6658,0.00011207,-6.6e-07,0.0,0,-1,-0.007885012723002016,MEAN_MOTION,5.354673184028952
HULIANWANG JISHU SHIYAN 4C,58693,13.41454456,7.79e-05,49.998,278.6049,178.3657,0.00010848,-6.8e-07,0.0,0,-1,-0.019365713879080704,MEAN_MOTION,5.3546330184629225
XPOSAT,58694,14.79082274,0.0009796,5.9864,122.0271,264.8528,0.00016662059,1.916e-05,0.0,0,-1,-0.039229499372820165,INCLINATION,4.061331481354388
EINSTEIN PROBE,58753,15.01468263,0.0009855,29.0001,15.6201,91.6935,0.00030534,4.196e-05,0.0,4,-1,-0.007828768750283599,INCLINATION,7.892818508263747
SORAYA,58817,14.42684252,0.0013174,64.5158,314.2571,234.0074,6.6135e-05,1.13e-06,0.0,0,-1,-0.010347242294607817,ECCENTRICITY,2.3360655961171033
GEESAT-2 11,58915,14.83004761,0.0019493,50.0008,5.9589,164.5915,0.00033202,2.507e-05,0.0,4,-1,-0.006827233193207438,ECCENTRICITY,3.928167872967361
HBTSS-SV2,58955,13.7045197,0.0019238,39.9919,54.0513,139.8194,0.00013637,4.4e-07,0.0,4,-1,-0.07679478765325876,MEAN_MOTION,5.49977421249193
RAPTOR4,58956,13.70166893,0.00142541,39.9912,57.298,134.8962,4.4742771e-05,-3.8e-07,0.0,4,-1,-0.06209530166771504,MEAN_MOTION,5.509916087904501
RAPTOR1,58957,13.7032163,0.0011619,39.9911,54.0691,151.5807,3.6397e-05,-4.5e-07,0.0,4,-1,-0.05966738410365224,MEAN_MOTION,5.504411177386593
RAPTOR3,58958,13.70481995,0.0011149,39.9917,53.7554,154.291,1.8271e-05,-6.1e-07,0.0,4,-1,-0.06178078849784441,MEAN_MOTION,5.498706045613294
RAPTOR2,58959,13.70549582,0.0011342,39.9916,53.2046,156.4579,3.9951e-05,-4.2e-07,0.0,4,-1,-0.062423890455400866,MEAN_MOTION,5.496301576176933
ADRAS-J,58992,15.25298589,0.0126531,98.2232,108.9755,35.0319,0.00043207,0.00013626,0.0,3,-1,-0.1195551000984032,ECCENTRICITY,11.289273563659698
SITRO-AIS 25,59066,14.92796043,0.0144622,95.3931,179.8892,248.6314,0.00036708,4.621e-05,0.0,3,-1,-0.06856354201994341,ECCENTRICITY,12.978487161492005
SITRO-AIS 26,59067,14.92607524,0.0144858,95.3934,179.8424,248.9054,0.00041007,5.143e-05,0.0,3,-1,-0.06924192188960798,ECCENTRICITY,13.000523224124718
SITRO-AIS 27,59068,14.93007212,0.0143927,95.3935,180.0724,247.6936,0.00045528,5.762e-05,0.0,3,-1,-0.06764927180121916,ECCENTRICITY,12.913592824501597
SITRO-AIS 28,59071,14.93037718,0.0143973,95.393,180.1011,247.628,0.00043726,5.538e-05,0.0,3,-1,-0.06764927180121916,ECCENTRICITY,12.917887989252042
STARLINK-31304,59231,15.96654481,0.00242584,42.9821,356.8065,220.6079,0.0012582709,0.00570796,0.00014366569,0,-1,-0.18577280095985693,MEAN_MOTION_DDOT,3.137148514061709
STARLINK-31268,59245,15.90625316,0.0024566,42.9809,4.7897,210.6071,0.0012739,0.00417568,7.332e-05,0,-1,-0.1565381684763386,ECCENTRICITY,4.804057530789439
YUNHAI-2 02A,59280,14.27929299,0.0011726,50.0086,62.912,225.4735,0.00011111,1.16e-06,0.0,0,-1,-0.0027092104034139863,MEAN_MOTION,2.776079925150855
STARLINK-31530,59322,15.45075963,0.001556,42.996,74.4118,142.9276,0.0048455,0.0024268,0.0,4,-1,-0.03805887399669072,ECCENTRICITY,3.052621781877129
STARLINK-31725,59538,15.66484275,0.0020518,42.9971,211.3922,0.5702,0.0073922,0.00874483,0.0,4,-1,-0.13528289093545232,ECCENTRICITY,4.156348585748314
ACS3,59588,13.90482235,0.00725,97.1968,24.6631,32.9112,0.01955,0.00024872,0.0,3,-1,-0.19420302719870353,ECCENTRICITY,6.244229071675981
STARLINK-31761,59615,15.77472377,0.0028808,42.9875,275.2347,300.1143,0.0075297,0.01490328,0.0,0,-1,-0.1085128098858893,ECCENTRICITY,5.723055229778208
STARLINK-31867,60139,16.05602488,0.00129213,53.1325,207.094,310.2944,0.0012506693,0.00918784,0.00045488862,0,-1,-0.1760800704292036,MEAN_MOTION_DDOT,10.015746282631216
2024-125C,60205,15.98051974,0.000385,97.2236,311.2755,142.6546,0.0013579,0.00615589,0.00016638,3,-1,-0.08545298176277139,MEAN_MOTION_DDOT,1.2965017778166639
GRBBETA,60237,15.05982211,0.0049674,61.9894,139.2229,117.705,0.00027254,3.88e-05,0.0,4,-1,-0.05519484688170806,ECCENTRICITY,10.64692113388633
ISTSAT-1,60238,15.10528424,0.0047187,61.9877,129.9575,115.3454,0.00043853,7.239e-05,0.0,4,-1,-0.05015027805194705,ECCENTRICITY,10.093276809314398
OOV-CUBE (TUBSAT-30),60240,15.02370641,0.00529314,61.9947,146.729,116.2323,0.00018377531,2.3e-05,0.0,4,-1,-0.060335180340742145,ECCENTRICITY,11.372068308337722
CURIUM ONE,60242,15.1120039,0.0049342,61.9783,131.3412,113.8887,0.0004712,7.967e-05,0.0,4,-1,-0.05439921969596462,ECCENTRICITY,10.573012844478255
ROBUSTA-3A (MEDITERRANEE),60243,15.10431315,0.0050047,61.986,132.9567,111.6908,0.00048204,7.986e-05,0.0,4,-1,-0.055442847284620456,ECCENTRICITY,10.729956651805642
QIANFAN-1,60379,13.51001479,0.0015669,88.9684,288.2936,268.7198,7.43e-05,6e-07,0.0,3,-1,-0.001634843077460424,MEAN_MOTION,2.803644322682614
QIANFAN-7,60385,14.27782216,0.0016828,88.9711,281.2535,56.8417,6.8908e-05,1.85e-06,0.0,3,-1,-0.00645986061920234,MEAN_MOTION,1.4490565058355391
STARLINK-32272,60735,15.97416354,0.0017722,53.1344,160.1342,347.4322,0.0012051,0.00553163,0.00014055,0,-1,-0.16096191811058647,MEAN_MOTION_DDOT,3.0682860485565024
CHAMRAN-1,61072,15.10434709,0.0046614,64.077,306.2375,310.3683,0.00028216,4.581e-05,0.0,0,-1,-0.07246740042507416,ECCENTRICITY,9.580592483006404
STARLINK-11331 [DTC],61537,16.01123474,0.0012286,53.1469,138.5442,22.9299,0.00041441,0.00231199,3.3841e-05,4,-1,-0.03175484394002859,ECCENTRICITY,2.3237791929553335
QIANFAN-19,61552,14.14410082,0.0005985,88.9786,65.7542,344.4148,0.00027967,5.49e-06,0.0,3,-1,-0.038215679357908705,ARG_OF_PERICENTER,2.479505888401147
QIANFAN-23,61556,14.16420827,0.00071,88.9779,65.5098,353.5003,0.00034626,7.02e-06,0.0,0,-1,-0.08149240043808337,INCLINATION,4.02270017166705
QIANFAN-24,61557,14.23970336,0.0007591,88.9763,64.7437,326.4093,0.00034846,8.13e-06,0.0,3,-1,-0.023981851147100552,ARG_OF_PERICENTER,2.2627899177224853
QIANFAN-25,61558,14.06015832,0.001071,88.9775,66.1547,6.0568,0.00027443,4.64e-06,0.0,3,-1,-0.003869939764907737,ARG_OF_PERICENTER,1.593004311642759
QIANFAN-27,61560,14.27469626,0.0005748,88.9776,64.4729,315.5027,0.00025036,6.29e-06,0.0,3,-1,-0.00905995238701679,ARG_OF_PERICENTER,2.1315170063451903
QIANFAN-28,61561,14.2825862,0.000534,88.9792,64.4811,315.8709,0.0004045,1.022e-05,0.0,3,-1,-0.017725392475163415,ARG_OF_PERICENTER,2.1359486977952407
QIANFAN-35,61568,14.28161405,0.0004485,88.9773,64.3959,314.4421,0.00035784,9.04e-06,0.0,3,-1,-0.013595252825165272,INCLINATION,0.6503620677210307
STARLINK-32264,61642,15.36442078,0.0009067,42.9986,48.4384,184.1695,0.0048709,0.00181203,0.0,0,-1,-0.013000626124503034,ARG_OF_PERICENTER,3.392880780034594
STARLINK-11426 [DTC],62058,15.69908694,4.45e-05,53.1579,336.6276,172.1337,0.0026248,0.00333263,0.0,0,-1,-0.022724479109909712,ARG_OF_PERICENTER,3.8657324730435776
STARLINK-11427 [DTC],62063,15.69823718,0.0001065,53.1571,336.8857,166.4306,0.0025271,0.00319137,0.0,0,-1,-0.024705826155913657,ARG_OF_PERICENTER,4.089790740080214
STARLINK-11463 [DTC],62066,15.69978119,0.0003576,53.1575,336.7558,176.6518,0.0029499,0.00377737,0.0,0,-1,-0.021425309642912338,ARG_OF_PERICENTER,3.6882294209669486
STARLINK-11379 [DTC],62089,15.71156138,0.000392,42.999,289.4005,160.5062,0.0021636,0.00290996,0.0,0,-1,-0.0012859924002045497,ARG_OF_PERICENTER,4.322543242619506
2024-226A,62185,13.60148301,0.0056223,50.0042,208.5917,257.8546,2.1943e-05,-1.18e-06,0.0,0,-1,-0.10569010211441687,ECCENTRICITY,11.662310750234852
2024-226B,62186,13.41492301,0.0012107,50.0032,263.2532,188.1348,0.0001265,-5.7e-07,0.0,0,-1,-0.035875521111455644,MEAN_MOTION,5.353504536023045
QIANFAN-38,62239,13.51007938,0.0012375,89.0097,30.5494,247.4002,0.00016038,1.15e-06,0.0,3,-1,-0.0015784792432672057,MEAN_MOTION,2.8035303711493134
QIANFAN-39,62240,14.25459525,0.0018604,89.0091,25.188,89.8407,0.00022668,5.5e-06,0.0,3,-1,-0.004051858846668033,INCLINATION,0.6469019571226575
QIANFAN-40,62241,13.51007391,0.0011384,89.0126,30.1679,256.9684,0.00013348,9.8e-07,0.0,3,-1,-0.016763026358320166,MEAN_MOTION,2.8035400214804373
QIANFAN-41,62242,13.51008911,0.0011831,89.0096,30.5024,242.7581,0.00015519,1.12e-06,0.0,3,-1,-0.0002751267043870076,MEAN_MOTION,2.8035132052038287
QIANFAN-43,62244,13.51008811,0.0013314,89.01,30.5728,249.1128,0.00013625,1e-06,0.0,3,-1,-0.00517393697566354,MEAN_MOTION,2.8035149694325514
QIANFAN-44,62245,13.51006831,0.0011544,89.0099,30.3831,245.5291,0.00014311,1.04e-06,0.0,3,-1,-0.0030214015390827575,MEAN_MOTION,2.8035499011612925
QIANFAN-46,62247,13.51007431,0.0012239,89.0098,30.5987,251.6713,0.00015902,1.15e-06,0.0,3,-1,-0.0038678948875279784,MEAN_MOTION,2.8035393157889454
QIANFAN-48,62249,13.5100734,0.0014913,89.0098,30.5294,253.7251,0.00014859,1.08e-06,0.0,3,-1,-0.013471257980107287,MEAN_MOTION,2.803540921237086
QIANFAN-49,62250,13.51006627,0.0012007,89.0097,30.5423,247.2391,0.00016354,1.17e-06,0.0,3,-1,-0.006481492275641876,MEAN_MOTION,2.80355350018789
QIANFAN-50,62251,13.51007626,0.0013659,89.0102,30.5537,248.9305,0.00014037,1.03e-06,0.0,3,-1,-0.0023727595115355937,MEAN_MOTION,2.803535875542934
QIANFAN-51,62252,13.51008231,0.0011143,89.0096,30.5427,253.1174,0.00015399,1.11e-06,0.0,3,-1,-0.0051722174798096154,MEAN_MOTION,2.8035252019591526
QIANFAN-52,62253,13.51004652,0.0013192,89.0093,30.4094,244.0771,0.00014813,1.08e-06,0.0,3,-1,-0.005955705900810959,MEAN_MOTION,2.803588343705194
QIANFAN-54,62255,13.51007172,0.0001212,89.0092,30.1965,6.9527,0.00014384,1.05e-06,0.0,3,-1,-0.03800520899161158,MEAN_MOTION,2.8035438851413437
GJZ 01,62290,13.75208527,0.0020573,59.9129,170.0178,168.6367,0.00013472,1.1e-07,0.0,4,-1,-0.07753078249986156,ECCENTRICITY,4.168592428873146
GJZ 03,62292,13.75194676,0.0012208,59.9126,154.1517,280.1782,0.00010306,-2e-07,0.0,0,-1,-0.001011449555644528,MEAN_MOTION,4.3485491028202015
HULIANWANG DIGUI-01,62323,13.24411176,0.0002041,86.5056,10.3297,78.8497,2.3059e-05,2.5e-07,0.0,3,-1,-0.005219099309529129,MEAN_MOTION,3.272758086074496
HULIANWANG DIGUI-02,62324,13.2441064,0.000202,86.5085,10.4637,80.0667,4.9396e-05,3.6e-07,0.0,3,-1,-0.0009623806080434338,MEAN_MOTION,3.272767542340457
HULIANWANG DIGUI-03,62325,13.24410017,0.0002045,86.5038,10.2478,76.8569,3.3345e-05,2.9e-07,0.0,3,-1,-0.004979206160652894,MEAN_MOTION,3.27277853348541
HULIANWANG DIGUI-08,62330,13.24411402,0.0002166,86.5091,10.476,72.3197,0.00012676,6.9e-07,0.0,3,-1,-0.00501614465852368,MEAN_MOTION,3.2727540989175785
TIANQI-33,62365,13.99180652,0.0008404,44.9844,319.5516,355.1007,0.00017947,1.33e-06,0.0,0,-1,-0.027702302153637004,MEAN_MOTION,3.633322448856697
TIANQI-34,62366,13.99160269,0.0005247,44.981,319.0146,1.3917,0.00017937,1.33e-06,0.0,4,-1,-0.03744690209763879,MEAN_MOTION,4.478450178056303
TIANQI-35,62367,13.99165564,0.0010688,44.9857,319.3841,344.0395,0.00018046,1.35e-06,0.0,0,-1,-0.025350901716117424,MEAN_MOTION,3.6337723509059234
TIANQI-36,62368,13.9919156,0.0008912,44.9854,319.2666,354.0324,0.00017619,1.29e-06,0.0,0,-1,-0.03116185029563634,MEAN_MOTION,3.6329971882818755
BANDWAGON-2 OBJECT W,62397,16.05691707,0.0016659,44.9787,307.2967,254.1593,0.0023423,0.01726059,0.0020237,0,-1,-0.24790241782684475,MEAN_MOTION_DDOT,44.689356153775506
BANDWAGON-2 OBJECT AE,62405,15.51403523,0.0008033,44.9792,340.6559,166.7035,0.0009696,0.00058602,0.0,0,-1,-0.01902619382919235,ARG_OF_PERICENTER,4.079069290153981
CENTISPACE-1 S8,62577,13.80495862,0.0012204,54.9845,212.7344,329.3673,6.5186e-05,-7.2e-07,0.0,0,-1,-0.008189504119094249,MEAN_MOTION,4.190475504947083
CENTISPACE-1 S12,62581,13.80568415,0.0013718,54.9764,212.5249,335.5028,9.7066e-05,-3.8e-07,0.0,0,-1,-0.018389050970509024,MEAN_MOTION,4.188312080810208
TRANSPORTER-12 OBJECT F,62614,15.92053761,0.0009309,97.3794,179.4828,259.5849,0.0027313,0.00900403,0.0003465,3,-1,-0.11080751342001183,MEAN_MOTION_DDOT,2.816117375651886
ION SCV-016,62628,14.47798907,0.0601028,97.4407,134.805,359.5397,0.00063329,0.00029205,0.0,1,-1,-0.008512270996778759,ARG_OF_PERICENTER,2.1352642680798533
STARLINK-33575,62760,15.30550566,0.0010656,53.1596,234.1089,200.652,0.0086976,0.00269999,0.0,0,-1,-0.003944297159121091,ARG_OF_PERICENTER,2.745331133976952
QIANFAN-76,63162,13.51001096,0.0013465,88.972,309.1584,173.155,0.00026802,1.85e-06,0.0,3,-1,-0.0005785381737282713,MEAN_MOTION,2.8036510796786263
QIANFAN-77,63163,13.96184053,0.0016754,88.9717,306.2866,106.4595,6.2718e-05,1e-06,0.0,3,-1,-0.006513074239429761,MEAN_MOTION,2.0065203738177906
QIANFAN-78,63164,13.51005934,0.0014731,88.9718,309.0248,176.4373,0.00025078,1.74e-06,0.0,3,-1,-0.00745440345682663,MEAN_MOTION,2.8035657262929488
QIANFAN-81,63167,13.50967571,0.0014732,88.9716,308.9057,168.3005,-2.6928e-06,1e-07,0.0,3,-1,-0.00905065240724684,MEAN_MOTION,2.8042425373584337
QIANFAN-83,63169,13.62028353,0.0014617,88.9719,308.5162,154.1094,0.00011589,1.02e-06,0.0,3,-1,-0.004480996213925059,MEAN_MOTION,2.6091050441874386
QIANFAN-84,63170,13.50837306,0.0015935,88.9719,309.0838,172.3148,0.00021455,1.5e-06,0.0,3,-1,-0.0030571549202359494,MEAN_MOTION,2.806540709906081
ION SCV-017,63230,15.27090386,0.0021692,97.4001,343.5275,339.2138,0.00022084,5.832e-05,0.0,3,-1,-0.03708303274620228,ARG_OF_PERICENTER,2.4169061403519554
STARLINK-11641 [DTC],63268,15.70919806,9.191e-05,43.0008,358.8172,30.5708,0.0022435406,0.00299035,0.0,4,-1,-0.00044519577626289664,INCLINATION,3.1858546863770845
STARLINK-33633,63382,15.85241132,0.0015077,53.1464,305.7433,230.7648,0.0010938,0.00275074,0.0,0,-1,-0.015858224583310987,ECCENTRICITY,2.748336369614422
TIANPING-3A 02,63432,14.86004153,0.0230452,43.0002,113.8199,113.0496,0.00026508,3.576e-05,0.0,4,-1,-0.08313392820007948,ECCENTRICITY,50.89087517790107
HYDRA-W,63490,15.72409603,0.0007216,97.3884,349.3439,87.2724,0.0027698,0.00384209,0.0,3,-1,-5.957809214307552e-07,RA_OF_ASC_NODE,1.9461908858402397
STARLINK-11687 [DTC],63555,16.07227957,0.0011421,42.9865,33.8674,197.8697,0.0018514,0.01504537,0.0014654,0,-1,-0.22399040635608047,MEAN_MOTION_DDOT,32.349901814108584
HULIANWANG DIGUI-20,63687,13.24411401,0.0002068,86.5105,340.1908,84.2068,0.00012482,6.8e-07,0.0,3,-1,-0.004336341165873281,MEAN_MOTION,3.272754116559864
HULIANWANG DIGUI-21,63688,13.24410609,0.0002058,86.5133,340.2493,87.7473,0.00012804,7e-07,0.0,3,-1,-0.005881939760796595,MEAN_MOTION,3.2727680892513598
HULIANWANG DIGUI-22,63689,13.24411344,0.0002059,86.5099,340.1419,83.3156,0.00011535,6.4e-07,0.0,3,-1,-0.003647116892618374,MEAN_MOTION,3.2727551221702385
HULIANWANG DIGUI-23,63690,13.24410781,0.0002047,86.5141,340.2829,84.0063,6.518e-05,4.3e-07,0.0,3,-1,-0.007835782150998727,MEAN_MOTION,3.272765054777957
HULIANWANG DIGUI-24,63691,13.24410632,0.0002097,86.5147,340.3085,86.4315,2.6252e-05,2.6e-07,0.0,3,-1,-0.013522031723698036,MEAN_MOTION,3.272767683478754
HULIANWANG DIGUI-25,63692,13.2441068,0.0002002,86.5086,340.1139,85.107,2.896e-05,2.7e-07,0.0,3,-1,-0.012687383536335861,MEAN_MOTION,3.2727668366489655
HULIANWANG DIGUI-26,63693,13.2441058,0.0002256,86.5135,340.259,87.9401,8.7312e-05,5.2e-07,0.0,3,-1,-0.006436255210286679,MEAN_MOTION,3.2727686008776913
HULIANWANG DIGUI-27,63694,13.24411161,0.000207,86.5095,340.148,86.0069,5.0935e-05,3.7e-07,0.0,3,-1,-0.005455448145972763,MEAN_MOTION,3.2727583507088047
HULIANWANG DIGUI-28,63695,13.24411107,0.0002083,86.5059,340.0393,82.6982,9.6614e-05,5.6e-07,0.0,3,-1,-0.0049679356319190515,MEAN_MOTION,3.2727593033923132
HULIANWANG DIGUI-29,63696,13.24412384,0.0001997,86.5087,340.1283,86.6658,6.736e-05,4.4e-07,0.0,3,-1,-0.007444335470487118,MEAN_MOTION,3.272736774191505
STARLINK-34110,63811,15.57405713,0.0021432,42.9963,54.4795,163.2818,0.0054762,0.00439038,0.0,0,-1,-0.11822862747059171,ECCENTRICITY,4.125099777694012
STARLINK-33986,63870,14.96800555,0.0007157,70.007,186.4711,171.5578,-0.086656,-0.00928889,0.0,3,-1,-0.17770752379724375,BSTAR,3.3807182851239053
STARLINK-33858,63885,15.00162745,0.0010072,70.0045,186.454,342.8932,0.094171,0.01278567,0.0,0,-1,-0.1679613177428798,BSTAR,8.026622591819663
STARLINK-33956,63927,14.96234633,0.0004489,70.0014,226.203,131.727,-0.056398,-0.00599815,0.0,3,-1,-0.12206982942327416,INCLINATION,2.7151014609179076
QPS-SAR-10 (WADATSUMI-I),64055,15.01028397,0.0011891,42.0055,1.9526,181.9064,0.00048842,6.171e-05,0.0,0,-1,-0.021783356152594857,ARG_OF_PERICENTER,3.481791418832899
TIANQI-16,64058,13.99122364,0.0011926,44.9856,19.7236,354.4997,0.00018119,1.36e-06,0.0,0,-1,-0.05091705279182279,MEAN_MOTION,3.6350605115982892
TIANQI-17,64059,13.9912376,0.0011133,44.9818,18.9952,357.5043,0.0001845,1.4e-06,0.0,0,-1,-0.052095071881709365,MEAN_MOTION,3.635018884924062
TIANQI-18,64060,13.99104702,0.0011126,44.9863,19.6348,5.0093,0.00018503,1.41e-06,0.0,4,-1,-0.04800206644375005,MEAN_MOTION,4.480427024982048
TIANQI-20,64061,13.99107921,0.0010639,44.987,19.5384,358.4041,0.00018092,1.35e-06,0.0,0,-1,-0.049330566184799585,MEAN_MOTION,3.635491180692726
STARLINK-11715 [DTC],64076,15.71001313,5.49e-05,42.9957,343.3013,157.0558,0.0016747,0.00221778,0.0,0,-1,-0.010441277928228465,ARG_OF_PERICENTER,4.45809945671065
STARLINK-34230,64137,15.50430388,0.0018635,42.9941,324.4865,242.0234,0.0026607,0.00159147,0.0,0,-1,-0.003146582460279823,ECCENTRICITY,3.519150564098636
STARLINK-34354,64314,14.97680745,0.0004023,70.0037,146.7156,317.8494,-0.016309,-0.00186469,0.0,0,-1,-0.003164415020749878,BSTAR,1.6091974532768303
STARLINK-34301,64349,14.98372219,0.0001506,70.0087,346.085,203.3788,-0.0032926,-0.000392,0.0,3,-1,-0.07748910028759459,INCLINATION,2.714307158799413
STARLINK-34461,64418,15.00324255,0.0011299,70.0021,26.3064,235.7939,0.061206,0.0082755,0.0,0,-1,-0.13956795847633108,BSTAR,5.151488560441985
STARLINK-34503,64420,15.00029621,0.0010651,70.0029,26.2779,250.2483,0.079843,0.01079795,0.0,0,-1,-0.15726662614584208,BSTAR,6.776966277499039
KUIPER-00066,64526,15.05824036,0.0002444,51.8831,94.1727,90.9077,-0.14712,-0.01948119,0.0,3,-1,-0.20352264791429486,BSTAR,5.795730193274125
W-SERIES 4,64543,14.99926221,0.0407798,97.4536,200.383,1.3008,0.00046417,0.00037543,2.1097e-06,1,-1,-0.014140695266299463,MEAN_MOTION_DOT,1.8082441259882227
SHIYAN-28B 01,64753,14.29366396,0.00030174,10.9983,132.1336,206.2217,9.5631976e-05,6.8e-06,0.0,0,-1,-0.06845074470972368,INCLINATION,3.5731325906031883
KUIPER-00074,64821,15.54106312,0.0004471,51.8978,197.3057,25.1134,0.023731,0.01763996,0.0,4,-1,-0.12462684277792868,MEAN_MOTION_DOT,17.446761461076484
CO3D 3,64900,15.1995111,0.0180032,98.029,163.8008,158.7023,0.00048501138,0.00016115,0.0,3,-1,-0.13079821127155722,ECCENTRICITY,16.28483028786656
HULIANWANG DIGUI-40,65043,13.29334037,9.36e-05,49.999,194.2812,161.8776,9.3964e-05,-8e-07,0.0,0,-1,-0.032541292028104185,MEAN_MOTION,5.716046151120341
HULIANWANG DIGUI-41,65044,13.29334533,9.84e-05,49.9999,194.2568,160.7578,9.9317e-05,-7.8e-07,0.0,0,-1,-0.03546471673828233,MEAN_MOTION,5.716031361127206
HULIANWANG DIGUI-42,65045,13.29333865,9.23e-05,49.9965,194.1454,163.4148,7.948e-05,-8.7e-07,0.0,0,-1,-0.03051464679177185,MEAN_MOTION,5.716051279908278
HULIANWANG DIGUI-43,65046,13.29334958,9.11e-05,49.9982,194.1367,162.458,7.693e-05,-8.8e-07,0.0,0,-1,-0.031888302817876024,MEAN_MOTION,5.716018688250024
HULIANWANG DIGUI-45,65048,13.29334828,9.72e-05,50.0039,194.1614,161.9505,5.5826e-05,-9.8e-07,0.0,0,-1,-0.03405639744255162,MEAN_MOTION,5.716022564659513
HULIANWANG DIGUI-46,65049,13.29334728,9.8e-05,50.0057,194.1539,163.438,7.2621e-05,-9e-07,0.0,0,-1,-0.03150277763853848,MEAN_MOTION,5.716025546512965
HULIANWANG DIGUI-47,65050,13.29334654,9.64e-05,50.0021,193.7724,164.9941,0.00010761,-7.4e-07,0.0,0,-1,-0.02775920856610592,MEAN_MOTION,5.716027753084524
HULIANWANG DIGUI-48,65051,13.29334043,9.46e-05,50.0031,193.748,162.7855,7.1321e-05,-9.1e-07,0.0,0,-1,-0.030958999585548486,MEAN_MOTION,5.7160459722091295
HULIANWANG DIGUI-49,65106,13.29321784,0.0007766,50.0019,254.0318,220.4785,0.00018753,-3.7e-07,0.0,0,-1,-0.00567227480660204,MEAN_MOTION,5.716411517624123
HULIANWANG DIGUI-50,65107,13.2932144,0.0008678,49.999,253.9257,206.4932,0.00016752,-4.6e-07,0.0,0,-1,-0.017240476315454445,MEAN_MOTION,5.716421775200008
HULIANWANG DIGUI-51,65108,13.29324245,0.0010011,50.0027,253.9583,206.7745,0.0001979,-3.2e-07,0.0,0,-1,-0.02547682253611827,MEAN_MOTION,5.71633813421061
HULIANWANG DIGUI-52,65109,13.29324185,0.0009963,50.0021,253.8968,219.6236,0.00015418,-5.2e-07,0.0,0,-1,-0.012255439340073448,MEAN_MOTION,5.716339923322683
HULIANWANG DIGUI-53,65110,13.29323121,0.0008623,50.0028,253.8767,209.3092,0.00012191,-6.7e-07,0.0,0,-1,-0.00820492002512574,MEAN_MOTION,5.7163716502434365
HULIANWANG DIGUI-54,65111,13.29322744,0.0010345,49.9978,253.6481,214.7341,7.2064e-05,-9e-07,0.0,0,-1,-0.014626331240597423,MEAN_MOTION,5.716382891830959
HULIANWANG DIGUI-55,65112,13.29322895,0.0011506,49.9985,253.7425,211.4351,9.4704e-05,-8e-07,0.0,0,-1,-0.020999059729234215,MEAN_MOTION,5.716378389232245
HULIANWANG DIGUI-56,65113,13.29322342,0.0011239,49.9976,253.6822,232.2776,0.00013433,-6.2e-07,0.0,0,-1,-0.012360144099987425,MEAN_MOTION,5.716394878881847
HULIANWANG DIGUI-57,65114,13.29323538,0.0009027,50.0003,253.6568,222.3789,0.00012851,-6.4e-07,0.0,0,-1,-0.003504765223536932,MEAN_MOTION,5.7163592159145304
GEESAT-4 04,65122,14.84410465,0.00317752,49.9729,145.087,348.0684,0.00018143801,1.319e-05,0.0,0,-1,-0.03830162256404457,ECCENTRICITY,6.365877005459366
GEESAT-4 05,65123,14.84667224,0.00178402,49.998,145.4877,357.1825,0.00020046339,1.486e-05,0.0,0,-1,-0.008896512013491953,ECCENTRICITY,3.3469630650047484
GEESAT-4 10,65128,14.89835999,0.0031911,49.9734,143.6847,343.3468,0.00014178,1.141e-05,0.0,0,-1,-0.03047624912081892,ECCENTRICITY,6.3952970638098305
HULIANWANG DIGUI-59,65165,13.24414207,0.0001504,86.4859,279.0846,100.3778,-7.7024e-05,-1.8e-07,0.0,3,-1,-0.007428275110029137,MEAN_MOTION,3.2727046123018613
SHIYAN-28B 02,65226,14.29354619,0.0003572,10.9996,98.7463,357.7629,9.2223e-05,6.71e-06,0.0,0,-1,-0.09368922488154519,INCLINATION,3.573005960271782
COSMOS 2591,65267,15.96433481,0.0009654,96.5923,19.9158,110.2375,0.00015033568,0.0006225,3.327016e-06,3,-1,-0.00943968449224486,RA_OF_ASC_NODE,1.9453312671224245
COSMOS 2592,65268,15.96449205,0.0009443,96.5873,19.9477,110.3536,0.00025223844,0.00104905,6.051683e-06,3,-1,-0.01909755948607822,RA_OF_ASC_NODE,1.9449544335836964
COSMOS 2593,65269,15.96441243,0.0010724,96.5863,19.752,107.117,0.00025928,0.00107949,6.2985e-06,3,-1,-0.023411606573527477,RA_OF_ASC_NODE,1.9472662305595303
