OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
STARLINK-4465,53496,15.983687,0.0004108,97.6349,237.0365,318.8483,0.000901,0.00416129,7.4486e-05,3,-1,-0.04843556691275969,MEAN_MOTION_DDOT,0.5212210996717062
STARLINK-4461,53503,16.13163228,0.00021494,97.6328,237.5181,294.3253,0.00072278464,0.00821979,0.00040499542,3,-1,-0.1283130362852163,MEAN_MOTION_DDOT,3.309624774241284
STARLINK-4469,53657,16.09319044,0.00028,97.6272,355.9553,152.2815,0.00076312,0.00675306,0.00024359,3,-1,-0.14162759358537969,MEAN_MOTION_DDOT,1.9478981819297965
STARLINK-4458,53668,15.14031032,0.0001424,97.6039,330.1375,73.922,-0.037294,-0.00629397,0.0,3,-1,-0.053003023392161175,BSTAR,1.4091348998018767
CHUANGXIN 16B (CX-16B),53876,15.39399157,4.33e-05,28.9933,29.8496,181.697,0.0011173,0.00045594,0.0,4,-1,-0.04164575130469994,INCLINATION,7.895104633528113
STARLINK-5034,53888,15.32360123,0.000152,53.2161,236.9193,69.0196,0.040446,0.01415116,0.0,4,-1,-0.11765365521536153,BSTAR,16.819295718754105
STARLINK-5024,53901,15.99492937,0.0009475,53.1975,147.8336,18.355,0.0018323,0.00932091,0.00042462,4,-1,-0.15594416466432492,MEAN_MOTION_DDOT,15.315183362285897
STARLINK-5017,53915,15.25027251,0.0001197,53.2163,227.4972,59.1524,0.037242,0.01026901,0.0,4,-1,-0.0736895475719751,BSTAR,15.469322072932847
STARLINK-4578,53965,15.94146552,0.0002293,53.2167,121.791,31.3155,0.0024955,0.00941698,0.00040092,4,-1,-0.12663974240339515,MEAN_MOTION_DDOT,14.458532664311331
ASO-S,54029,14.52022251,0.001392,98.278,94.0628,345.1055,6.7873e-05,2.3e-06,0.0,3,-1,-0.013201569653208622,ARG_OF_PERICENTER,2.4878192216019883
YAOGAN-36 02A,54042,15.23030572,0.00304298,35.006,271.7871,189.0849,0.00057637881,0.00014068,0.0,0,-1,-0.0630754266761292,ECCENTRICITY,6.0744061180903195
YAOGAN-36 02C,54045,15.42961482,0.0007933,34.9896,236.8706,176.0622,0.0010823,0.00049357,0.0,4,-1,-0.016568116420763723,INCLINATION,5.87917920371539
STARLINK-5228,54180,15.56093062,8.78e-05,53.2162,273.3545,83.7306,0.01684,0.0132662,0.0,4,-1,-0.07002926228158468,MEAN_MOTION_DOT,13.057121050451823
