OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
ONEWEB-0344,2021-083AA,2026-04-10 09:33:04.779072,13.13469178,0.0001578,87.898,333.7477,70.3214,289.8086,0,U,49210,999,22199,0.00062141,2.4e-06,0.0,6577.9998074686455,7587.834205283776,1216.834205283776,1208.6368450461823,1211.0315655213699,7.247760685219666,5.3,A,1,1,0.1476748590423883
ONEWEB-0345,2021-083AB,2026-04-10 09:20:52.456128,13.13469721,0.0001605,87.8989,333.7202,71.6658,288.4646,0,U,49211,999,22200,0.00044996,1.77e-06,0.0,6577.997088065344,7587.832114031783,1216.832114031783,1208.6142669774808,1211.0499610860852,7.2477616839827315,5.3,B,1,1,0.1501991564644531
ONEWEB-0346,2021-083AC,2026-04-10 09:18:39.115008,13.1868559,0.00013,87.9216,348.9419,97.8138,262.3142,0,U,49212,999,22104,-0.00027407,-9.5e-07,0.0,6551.978777594742,7567.810523421162,1196.8105234211616,1188.8267080531168,1190.7943387892064,7.25734278182976,5.3,C,1,1,0.13259612192591191
ONEWEB-0348,2021-083AD,2026-04-10 11:07:09.757632,13.20772682,0.0001208,87.9141,287.9602,94.6108,265.5164,0,U,49213,999,22787,0.00025594,1.17e-06,0.0,6541.625305966163,7559.835959361636,1188.835959361636,1180.922731177745,1182.7491875455262,7.261169511073596,5.3,D,1,1,0.16299235265570328
ONEWEB-0350,2021-083AE,2026-04-10 09:34:16.874688,13.13472313,0.0001473,87.8993,333.7177,70.9474,289.1814,0,U,49214,999,22203,0.00065325,2.51e-06,0.0,6577.984107077254,7587.8221315006895,1216.8221315006895,1208.7044453007193,1210.9398177006597,7.247766451555122,5.3,E,1,1,0.14524037343259616
ONEWEB-0351,2021-083AF,2026-04-10 12:46:57.267264,13.20773658,0.000238,87.9142,287.9447,73.6165,286.523,0,U,49215,999,22784,0.00012263,6.3e-07,0.0,6541.62047196129,7559.8322350794015,1188.8322350794015,1180.0329950074529,1183.63147515135,7.261171299647763,5.3,F,1,1,0.16020077286323803
ONEWEB-0352,2021-083AG,2026-04-10 09:06:14.822208,13.13470293,0.0002038,87.8992,333.7365,74.6377,285.4977,0,U,49216,999,22212,-0.00036324,-1.2e-06,0.0,6577.994223429308,7587.829911093858,1216.8299110938578,1208.2835113579767,1211.376310829739,7.247762736086437,5.3,G,1,1,0.15087517111515097
ONEWEB-0354,2021-083AH,2026-04-10 11:34:26.040576,13.20772213,0.0001429,87.9142,287.9538,87.3329,272.7968,0,U,49217,999,22787,5.5343e-05,3.5e-07,0.0,6541.627628866538,7559.837749002989,1188.8377490029889,1180.7574481886568,1182.918049817321,7.261168651604754,5.3,H,1,1,0.16478938721528436
ONEWEB-0355,2021-083AJ,2026-04-10 04:18:48.464640,13.13468581,0.00017601,87.898,333.7843,74.0815,286.0508,0,U,49218,999,22197,0.00094994646,3.6e-06,0.0,6578.002797312439,7587.836504507242,1216.8365045072424,1208.5009694040837,1211.1720396104001,7.247759587131779,5.3,J,1,1,0.15014967300221643
ONEWEB-0357,2021-083AK,2026-04-10 06:02:37.148640,13.20772268,0.00018168,87.9139,287.9945,86.5703,273.5638,0,U,49219,999,22784,8.1398701e-05,4.6e-07,0.0,6541.627356458093,7559.837539130281,1188.8375391302807,1180.464067846172,1183.2110104143903,7.261168752395354,5.3,K,1,1,0.1666775990913404
JILIN-1 GAOFEN 2D,2021-086A,2026-04-10 07:37:45.753024,15.1009708,0.00339926,97.6371,223.1742,19.5496,340.7028,0,U,49256,999,25047,0.00025432196,4.132e-05,0.0,5721.486462314065,6913.975641000716,542.9756410007158,512.4732401632873,559.4780418381433,7.592745425139609,5.3,A,0,1,0.08021712109058798
LANDSAT 9,2021-088A,2026-04-09 22:32:35.772288,14.57130014,0.0001191,98.1889,171.2122,99.8745,260.2588,0,U,49260,999,24106,8.6045e-05,3.43e-06,0.0,5929.464026536756,7080.526530130028,709.5265301300278,701.6832394202893,703.3698208397664,7.50291427051506,5.3,A,0,1,0.16633338309660395
CS1,2021-088B,2026-04-10 03:52:09.621408,15.3292423,0.00112368,97.382,163.5072,327.6538,32.4015,0,U,49261,999,24999,0.00041520421,0.00013158,0.0,5636.28640666734,6845.1656823194,474.1656823193998,459.47390654549145,474.8574580933091,7.630812442299244,5.3,B,3,1,0.0648395258545213
CS2,2021-088C,2026-04-10 04:18:59.757120,15.34427453,0.00089592,97.3874,165.7545,332.7061,27.371,0,U,49262,999,25008,0.00047746409,0.00015874,0.0,5630.764741016401,6840.694311452161,469.69431145216095,456.56559660464427,468.8230262996776,7.633305947863975,5.3,C,3,1,0.07045731231889157
CUTE,2021-088D,2026-04-10 04:22:22.714176,15.72284223,0.00036144,97.4195,194.2547,211.8206,148.2839,0,U,49263,999,25181,0.00077831049,0.00103713,0.0,5495.18965694029,6730.444064961091,359.4440649610906,350.0114132582512,354.87671666393,7.695571927412576,5.3,D,0,1,0.14794690112156667
CUPID,2021-088E,2026-04-10 04:05:23.422272,15.25065531,0.00109959,97.3928,162.1874,308.0315,51.993,0,U,49264,999,24981,0.00031530041,7.825e-05,0.0,5665.33032474655,6868.6610669332385,497.66106693323854,483.10835591064915,498.213777955827,7.617750037846586,5.3,E,3,1,0.0763079191094565
ONEWEB-0332,2021-090A,2026-04-10 11:22:16.660416,13.14509868,0.0001902,87.8933,303.2254,89.8358,270.299,0,U,49279,999,21868,0.0029715,1.115e-05,0.0,6572.792042364493,7583.828846488163,1212.8288464881634,1204.386402241561,1207.271290734766,7.249674365671458,5.3,A,1,1,0.13603128571783757
ONEWEB-0347,2021-090B,2026-04-10 11:16:15.629376,13.2077257,0.0001977,87.914,287.9598,96.4248,263.711,0,U,49280,999,22210,0.00013827,6.9e-07,0.0,6541.625860688491,7559.83638673858,1188.8363867385797,1180.341807084922,1183.3309663922373,7.261169305827323,5.3,B,1,1,0.1660889059507173
ONEWEB-0349,2021-090C,2026-04-10 12:01:43.240224,13.2077181,0.0001703,87.9139,287.9537,89.9385,270.1943,0,U,49281,999,22089,-0.00025578,-9.1e-07,0.0,6541.629624878199,7559.839286798004,1188.8392867980037,1180.551846167462,1183.1267274285456,7.2611679130844555,5.3,C,1,1,0.1662465110360417
ONEWEB-0353,2021-090D,2026-04-10 11:10:51.345120,13.14501127,0.0001957,87.8933,303.2213,90.1522,269.9832,0,U,49282,999,21868,0.00047963,1.91e-06,0.0,6572.835749269008,7583.862466428646,1212.8624664286463,1204.378304543966,1207.3466283133257,7.249658296426275,5.3,D,1,1,0.1622574914873413
ONEWEB-0356,2021-090E,2026-04-10 11:59:26.283264,13.20772141,0.0001857,87.9139,287.9472,118.9741,241.1579,0,U,49283,999,22089,-0.00012275,-3.7e-07,0.0,6541.627985473991,7559.838023745466,1188.8380237454658,1180.4341618244562,1183.2418856664754,7.261168519660691,5.3,E,1,1,0.15362815118407463
ONEWEB-0358,2021-090F,2026-04-10 12:42:36.713376,13.20782062,0.0001683,87.914,287.9445,93.7662,266.3664,0,U,49284,999,22162,0.0026461,1.089e-05,0.0,6541.578848305104,7559.800166757001,1188.8001667570006,1180.5278523889356,1183.0724811250648,7.261186700407714,5.3,F,1,1,0.14518045927468204
ONEWEB-0359,2021-090G,2026-04-10 12:38:03.990048,13.20773159,0.0001453,87.9139,287.9419,88.4119,271.7181,0,U,49285,999,22160,2.0881e-05,2.1e-07,0.0,6541.622943444447,7559.834139194439,1188.8341391944386,1180.7356952940136,1182.9325830948637,7.2611703852026785,5.3,G,1,1,0.16500919986273122
ONEWEB-0360,2021-090H,2026-04-10 12:24:27.400320,13.2077242,0.0001586,87.9141,287.9501,87.574,272.5575,0,U,49286,999,22091,0.00010017,5.4e-07,0.0,6541.626603620327,7559.836959118509,1188.8369591185092,1180.6379689767928,1183.0359492602256,7.261169030943906,5.3,H,1,1,0.1664478418895342
ONEWEB-0361,2021-090J,2026-04-10 11:57:10.308672,13.20771616,0.0001671,87.9142,287.9517,97.5853,262.547,0,U,49287,999,22136,-2.2761e-05,4e-08,0.0,6541.630585737845,7559.840027076776,1188.840027076776,1180.5767778082518,1183.1032763453013,7.261167557568427,5.3,J,1,1,0.16584378444505177
ONEWEB-0362,2021-090K,2026-04-10 13:10:02.056224,13.19727144,0.0001809,87.917,318.4662,76.5246,283.6088,0,U,49288,999,21799,3.2183e-05,2.6e-07,0.0,6546.8078301494725,7563.82822524697,1192.8282252469699,1184.4599287210222,1187.1965217729166,7.259252998390974,5.3,K,1,1,0.1604896244370434
ONEWEB-0363,2021-090L,2026-04-10 12:19:53.431104,13.20772765,0.0001601,87.9141,287.9495,102.8761,257.2551,0,U,49289,999,22137,6.0423e-06,1.5e-07,0.0,6541.6248948773555,7559.835642644833,1188.8356426448327,1180.6253129584456,1183.0459723312197,7.261169663175737,5.3,L,1,1,0.1630133370559571
ONEWEB-0364,2021-090M,2026-04-10 11:25:20.472960,13.20771926,0.0001697,87.9132,287.9681,90.1587,269.9741,0,U,49290,999,22250,1.3405e-05,1.8e-07,0.0,6541.6290503437,7559.838844157175,1188.8388441571751,1180.5559395053215,1183.1217488090288,7.261168125661033,5.3,M,1,1,0.1671997805138914
ONEWEB-0365,2021-090N,2026-04-10 13:23:40.998624,13.19724776,0.0001843,87.9181,318.4472,83.7621,276.3722,0,U,49291,999,21750,-0.00067321,-2.57e-06,0.0,6546.8195771752335,7563.83727316373,1192.83727316373,1184.4432579542854,1187.2312883731738,7.25924865660425,5.3,N,1,1,0.15685167206703315
ONEWEB-0366,2021-090P,2026-04-10 11:06:17.383680,13.14501199,0.0001662,87.8925,303.2283,87.5322,272.5998,0,U,49292,999,21866,0.00048592,1.93e-06,0.0,6572.835389250946,7583.862189498201,1212.8621894982007,1204.6017516023057,1207.1226273940956,7.249658428789642,5.3,P,1,1,0.16215603953301577
ONEWEB-0367,2021-090Q,2026-04-10 10:28:31.440000,13.20772589,0.0001805,87.9142,287.9648,85.0494,275.0845,0,U,49293,999,22088,-5.9619e-06,1.1e-07,0.0,6541.625766583803,7559.836314237129,1188.836314237129,1180.4717637824087,1183.2008646918484,7.261169340645889,5.3,Q,1,1,0.1658186699305627
ONEWEB-0368,2021-090R,2026-04-09 15:39:43.192800,13.20250016,0.00036782,87.9132,288.1413,81.6687,278.4863,0,U,49294,999,22193,-0.13214108,-0.00052993,0.0,6544.2150314656765,7561.831040349865,1190.8310403498654,1181.049647656604,1186.6124330431257,7.2602115700131185,5.3,R,1,-1,-0.2210212046372783
ONEWEB-0369,2021-090S,2026-04-10 07:49:20.175744,13.19726923,0.0001831,87.9173,318.5081,86.3679,273.7663,0,U,49295,999,21746,-7.6328e-05,-1.8e-07,0.0,6546.808926470617,7563.829069667109,1192.8290696671093,1184.444132564453,1187.2140067697665,7.259252593182214,5.3,S,1,1,0.1620603414524064
ONEWEB-0370,2021-090T,2026-04-10 12:31:15.758688,13.20772755,0.0001604,87.914,287.9486,82.3215,277.81,0,U,49296,999,22093,6.522e-05,4e-07,0.0,6541.624944406126,7559.835680803483,1188.8356808034832,1180.6230831602825,1183.048278446684,7.2611696448501775,5.3,T,1,1,0.1640670440188498
ONEWEB-0371,2021-090U,2026-04-10 13:28:13.812672,13.19724752,0.000179,87.9171,318.4506,81.8576,278.276,0,U,49297,999,21753,-0.0007225,-2.76e-06,0.0,6546.819696233143,7563.837364865728,1192.837364865728,1184.4834379774165,1187.1912917540385,7.259248612599628,5.3,U,1,1,0.15684233311086204
ONEWEB-0372,2021-090V,2026-04-10 10:26:03.252768,13.20773225,0.0001826,87.9139,287.9666,90.7849,269.3493,0,U,49298,999,22089,1.5825e-05,1.9e-07,0.0,6541.622616554784,7559.833887347491,1188.8338873474913,1180.4534616796618,1183.2143130153208,7.26117050615134,5.3,V,1,1,0.1672253292570799
ONEWEB-0373,2021-090W,2026-04-10 12:53:58.125984,13.20771072,0.0001646,87.9135,287.9491,91.9225,268.2097,0,U,49299,999,22209,-0.00053758,-2.06e-06,0.0,6541.633280108666,7559.842102911001,1188.8421029110013,1180.5977529008624,1183.0864529211403,7.261166560657318,5.3,W,1,1,0.16289740261076735
ONEWEB-0374,2021-090X,2026-04-10 12:37:38.172000,13.14502535,0.0001501,87.8934,303.2024,110.1512,249.9779,0,U,49300,999,21867,-0.00027621,-9e-07,0.0,6572.828708922954,7583.857050904535,1212.8570509045348,1204.7187139611933,1206.9953878478755,7.2496608848645865,5.3,X,1,1,0.14840978080272893
ONEWEB-0375,2021-090Y,2026-04-10 12:35:47.986080,13.20772934,0.0001413,87.9139,287.9413,107.5634,252.5654,0,U,49301,999,22159,9.3033e-05,5.1e-07,0.0,6541.62405784127,7559.8349977637345,1188.8349977637345,1180.76679307855,1182.903202448918,7.261169972877666,5.3,Y,1,1,0.16056763257055556
ONEWEB-0376,2021-090Z,2026-04-10 13:25:58.677888,13.19724736,0.0001956,87.9183,318.4468,83.7292,276.4064,0,U,49302,999,21753,0.00012561,6.3e-07,0.0,6546.819775605085,7563.837426000394,1192.8374260003939,1184.3579393998689,1187.3169126009197,7.259248583263214,5.3,Z,1,1,0.16229155389766564
ONEWEB-0377,2021-090AA,2026-04-10 10:26:27.017088,13.20770118,0.0001532,87.9142,287.9607,88.0394,272.0914,0,U,49303,999,22157,-0.00011332,-3.3e-07,0.0,6541.638005168738,7559.84574325608,1188.84574325608,1180.687574888213,1183.0039116239468,7.261164812397099,5.3,A,1,1,0.16571011593066803
ONEWEB-0378,2021-090AB,2026-04-10 12:47:21.225120,13.20771643,0.0001647,87.9137,287.9498,100.7773,259.3546,0,U,49304,999,22085,0.00081473,3.44e-06,0.0,6541.630452009939,7559.839924048277,1188.8399240482768,1180.5948184127856,1183.085029683768,7.261167607047465,5.3,B,1,1,0.16310743633908614
ONEWEB-0379,2021-090AC,2026-04-10 12:30:46.711008,13.14501415,0.0001699,87.8936,303.2142,92.9257,267.2068,0,U,49305,999,21867,-0.00052223,-1.81e-06,0.0,6572.834309196997,7583.8613587070195,1212.8613587070195,1204.5728606621751,1207.1498567518638,7.249658825879717,5.3,C,1,1,0.15754842254064527
ONEWEB-0380,2021-090AD,2026-04-10 13:21:24.478848,13.19726713,0.0001476,87.9171,318.4593,85.1971,274.933,0,U,49306,999,21750,2.2467e-05,2.2e-07,0.0,6546.80996822408,7563.829872057507,1192.8298720575067,1184.7134507683904,1186.946293346623,7.259252208142173,5.3,D,1,1,0.15958504671396978
ONEWEB-0381,2021-090AE,2026-04-10 12:10:48.628992,13.20771883,0.0001584,87.9142,287.9508,98.7798,261.3515,0,U,49307,999,22089,-9.0726e-05,-2.4e-07,0.0,6541.6292633176845,7559.839008239544,1188.8390082395435,1180.6415297406384,1183.0364867384478,7.261168046861097,5.3,E,1,1,0.16452268336186965
ONEWEB-0382,2021-090AF,2026-04-10 11:52:37.733088,13.20771563,0.0001679,87.9139,287.9491,102.0145,258.1177,0,U,49308,999,22088,-0.00020325,-7e-07,0.0,6541.630848240788,7559.840229317917,1188.840229317917,1180.5709321434142,1183.1095264924206,7.261167460442908,5.3,F,1,1,0.16392947751244258
ONEWEB-0383,2021-090AG,2026-04-10 12:21:38.147040,13.14500966,0.0001769,87.8941,303.2019,93.8455,266.2877,0,U,49309,999,21870,-0.00053047,-1.84e-06,0.0,6572.836554309539,7583.863085675982,1212.863085675982,1204.5215002961259,1207.204671055838,7.24965800044706,5.3,G,1,1,0.15755733110383618
ONEWEB-0384,2021-090AH,2026-04-10 11:38:52.238112,13.20808925,0.0001863,87.9139,287.994,107.8373,252.2963,0,U,49310,999,22089,-3.1326e-05,0.0,0.0,6541.445803752424,7559.697664118189,1188.697664118189,1180.2892924433645,1183.1060357930137,7.261235927791389,5.3,H,1,1,0.1616275945188394
ONEWEB-0385,2021-090AJ,2026-04-10 11:41:14.961408,13.20772867,0.0001685,87.914,287.9552,97.5745,262.5579,0,U,49311,999,22086,-0.0001624,-5.3e-07,0.0,6541.624389683953,7559.835253426639,1188.8352534266387,1180.5614211864358,1183.1090856668416,7.261169850096431,5.3,J,1,1,0.16534438346719943
ONEWEB-0386,2021-090AK,2026-04-10 06:38:58.860096,13.20772988,0.0001738,87.915,287.9838,99.9455,260.1875,0,U,49312,999,22085,4.6157e-05,3.2e-07,0.0,6541.623790385997,7559.8347917070805,1188.8347917070805,1180.5208924202816,1183.1486909938794,7.261170071835674,5.3,K,1,1,0.1654444580942413
ONEWEB-0387,2021-090AL,2026-04-10 11:43:30.473760,13.20773457,0.0001401,87.9133,287.9739,93.731,266.3983,0,U,49313,999,22088,-0.0018192,-7.27e-06,0.0,6541.6214674883495,7559.833002067479,1188.8330020674794,1180.7738694638902,1182.8921346710695,7.2611709313041795,5.3,L,1,1,0.14837130878518667
ONEWEB-0388,2021-090AM,2026-04-10 07:47:03.471936,13.19726989,0.0001699,87.9173,318.5029,89.7652,270.3675,0,U,49314,999,21746,0.00014152,7e-07,0.0,6546.808599062454,7563.828817487314,1192.8288174873142,1184.5437229712234,1187.113912003405,7.25925271419479,5.3,M,1,1,0.161876852904346
2021-091B,2021-091B,2026-04-10 12:15:08.870976,15.18215609,0.0011829,97.4495,289.126,278.1057,81.8835,0,U,49316,999,24871,0.00017867,3.593e-05,0.0,5690.891299484723,6889.3056899008425,518.3056899008425,503.1563302002587,519.4550496014272,7.60632772785049,5.3,B,3,1,0.05279946034021865
JILIN-1 GAOFEN 2F,2021-097A,2026-04-10 12:44:17.117952,15.07295024,0.0020449,97.6591,226.9655,97.7258,262.6292,0,U,49338,999,24612,0.00026066,3.888e-05,0.0,5732.122684961507,6922.541692139732,551.5416921397318,530.3857866334756,558.697597645988,7.588046285628762,5.3,A,0,1,0.14431123551867453
YAOGAN-32 02A,2021-099A,2026-04-10 07:25:30.214272,14.64109793,0.00023941,98.2355,234.0734,83.8535,276.294,0,U,49383,999,23643,0.00018083775,9.02e-06,0.0,5901.196782719696,7058.0055139633,687.0055139632996,678.3157568632014,681.6952710633977,7.514875062832356,5.3,A,2,1,0.05136698748780055
YAOGAN-32 02B,2021-099B,2026-04-10 07:25:22.806336,14.6411155,0.00018862,98.2355,234.0872,97.3523,262.7894,0,U,49384,999,23643,0.00017918774,8.93e-06,0.0,5901.189701016975,7057.9998673452,686.9998673452001,678.6685874102213,681.3311472801797,7.5148780688979455,5.3,B,2,1,0.05666524329587985
SDGSAT 1,2021-100A,2026-04-10 06:45:08.753184,15.19584334,0.00085741,97.2709,149.7385,160.2441,199.9128,0,U,49387,999,24560,0.00010557694,2.182e-05,0.0,5685.765381153238,6885.168163228654,514.1681632286536,501.2647511938203,513.0715752634878,7.608612832329787,5.3,A,0,1,0.21403307702037494
YAOGAN-35 01A,2021-101A,2026-04-10 03:10:45.687936,15.2562818,0.00039614,34.9922,345.9946,117.4249,242.687,0,U,49390,999,24647,0.00035211913,9.152e-05,0.0,5663.240960848009,6866.972196335105,495.97219633510485,486.25191396924856,491.69247870096206,7.61868673911463,5.3,A,2,1,0.07778213699449943
YAOGAN-35 01C,2021-101D,2026-04-10 02:35:42.210816,15.23179228,0.00082887,35.006,333.0483,144.1079,216.0194,0,U,49393,999,24662,0.00029425965,7.102e-05,0.0,5672.346261801831,6874.330657228888,503.3306572288884,490.6327307770316,502.0285836807461,7.614608027908818,5.3,D,2,1,0.04939494111019532
TEIKYOSAT-4 (OORURI),2021-102B,2026-04-10 00:52:33.626784,15.09270392,0.00126354,97.3744,132.1578,160.8588,199.3119,0,U,49396,999,24244,0.00015651732,2.436e-05,0.0,5724.620350201636,6916.500118640384,545.5001186403842,529.7608440804779,547.2393932002915,7.591359647284994,5.3,B,0,1,0.20322704944657244
RAISE 2,2021-102C,2026-04-10 02:22:58.598976,15.20731573,0.00096886,97.3333,134.9336,153.8265,206.3463,0,U,49397,999,24308,0.00029453427,6.421e-05,0.0,5681.47604310968,6881.704949833965,510.70494983396475,497.03754117626886,510.37235849166063,7.610527106170028,5.3,C,0,1,0.2088415642693725
Z-SAT,2021-102E,2026-04-10 04:05:14.358912,15.17755041,0.00182811,97.3408,137.559,122.1633,238.1377,0,U,49399,999,24312,0.00024251791,4.851e-05,0.0,5692.618220070204,6890.699341798078,519.6993417980784,500.102385424344,525.2962981718129,7.605558494671691,5.3,E,0,1,0.18463555134290033
HIBARI,2021-102F,2026-04-10 02:22:44.547744,15.30390797,0.00135695,97.3319,146.8228,85.6829,274.5963,0,U,49400,999,24377,0.00033316166,9.746e-05,0.0,5645.616803849612,6852.717996208316,481.71799620831644,465.4192005233617,484.01679189327115,7.626606361002365,5.3,F,0,1,0.20720914620654024
DRUMS,2021-102G,2026-04-10 01:51:03.914496,15.19849696,0.00170633,97.3375,139.0487,109.7697,250.5381,0,U,49401,999,24323,0.00021947805,4.657e-05,0.0,5684.772660572352,6884.366717677901,513.3667176779009,494.6197162165254,518.1137191392763,7.609055698877313,5.3,G,0,1,0.19255088717547264
KOSEN-1,2021-102H,2026-04-10 02:13:21.279360,15.25914304,0.00156787,97.3273,143.5941,89.7706,270.533,0,U,49402,999,24363,0.00028551052,7.276e-05,0.0,5662.179047244845,6866.113752775037,495.113752775037,477.34857900547377,498.8789265446003,7.619162991649273,5.3,H,0,1,0.19979875055892898
STARLINK-3151,2021-104A,2026-04-10 06:00:00.999648,15.59187667,0.00014111,53.2175,78.3182,79.824,327.6311,0,U,49408,999,571,0.011198773,0.00975978,0.0,5541.347063515479,6768.080200681914,397.080200681914,389.1251568847956,391.03524447903146,7.674145219079533,5.3,A,0,1,0.09356639622909757
STARLINK-3075,2021-104B,2026-04-10 06:09:57.849984,15.08836986,0.00012497,53.2162,87.4093,87.6213,272.4922,0,U,49409,999,24340,3.7709909e-05,3.12e-06,0.0,5726.264719229252,6917.824542324051,546.8245423240514,538.9600217909974,540.6890628571045,7.590632926210116,5.3,B,0,1,0.2549461695215169
STARLINK-3147,2021-104C,2026-04-10 06:00:44.773344,15.08836383,0.00013626,53.217,87.446,90.1888,269.926,0,U,49410,999,24339,-5.578363e-06,-3.77e-06,0.0,5726.267007706428,6917.8263854432325,546.8263854432325,538.8837624199523,540.7690084665137,7.590631915022403,5.3,C,0,1,0.2549518439448086
STARLINK-3162,2021-104D,2026-04-10 04:14:42.764640,15.08836138,0.00013184,53.2168,77.7689,88.2175,271.8968,0,U,49411,999,24352,7.2535609e-05,8.67e-06,0.0,5726.267937519402,6917.82713430627,546.8271343062697,538.9150879768831,540.7391806356572,7.590631504174914,5.3,D,0,1,0.2541466849046636
STARLINK-3157,2021-104F,2026-04-10 07:21:33.760800,15.08835901,0.0001368,53.2171,77.196,91.3457,268.7692,0,U,49413,999,24354,5.3093e-05,5.57e-06,0.0,5726.268836971423,6917.827858716829,546.8278587168288,538.8814998657563,540.7742175679005,7.590631106742809,5.3,F,0,1,0.25371683413518076
STARLINK-3146,2021-104G,2026-04-10 05:54:04.080384,15.08842695,0.0001274,53.2172,87.4569,87.2837,272.8301,0,U,49414,999,24339,5.5313e-05,5.93e-06,0.0,5726.243052792193,6917.807092356006,546.8070923560063,538.9257637324399,540.6884209795726,7.59064249977994,5.3,G,0,1,0.25508859717218657
STARLINK-3159,2021-104H,2026-04-10 05:39:29.676096,15.08836046,0.0001304,53.217,77.5049,90.0038,270.1104,0,U,49415,999,24352,4.7642e-05,4.7e-06,0.0,5726.26828667374,6917.827415512033,546.8274155120334,538.925330817051,540.7295002070159,7.590631349897477,5.3,H,0,1,0.25429386867830944
STARLINK-3133,2021-104J,2026-04-10 04:08:04.762176,15.08842081,0.00012737,53.2162,87.7883,86.4794,273.6344,0,U,49416,999,24338,8.0561337e-05,9.95e-06,0.0,5726.245382998434,6917.808969085771,546.8089690857714,538.9278477573789,540.6900904141639,7.590641470148612,5.3,J,0,1,0.25473229789113
STARLINK-3154,2021-104K,2026-04-10 07:57:14.630112,15.08825891,0.0001053,53.2163,76.7264,46.1573,313.9506,0,U,49417,999,24354,-3.7767e-05,-8.88e-06,0.0,5726.306826743073,6917.858455302209,546.8584553022092,539.130004806866,540.5869057975524,7.590614320648454,5.3,K,0,1,0.23009792415618363
STARLINK-3111,2021-104L,2026-04-10 08:48:54.135072,15.08860146,0.0001515,53.2156,86.9127,77.4793,282.6368,0,U,49418,999,24340,-2.1106e-05,-6.24e-06,0.0,5726.176824873205,6917.753752804912,546.7537528049124,538.7057131113625,540.8017924984633,7.590671763663671,5.3,L,0,1,0.2515102870312901
STARLINK-3120,2021-104M,2026-04-10 05:22:16.662144,15.08836837,0.00013165,53.2169,87.558,89.2936,270.8207,0,U,49419,999,24338,7.8407962e-05,9.6e-06,0.0,5726.265284706858,6917.824997754714,546.8249977547139,538.9142660937596,540.7357294156682,7.590632676347837,5.3,M,0,1,0.2556381312628796
STARLINK-3110,2021-104N,2026-04-10 08:43:38.500320,15.08840297,0.0001339,53.2165,86.9302,85.5645,274.5501,0,U,49420,999,24340,3.5297e-05,2.74e-06,0.0,5726.252153510717,6917.8144220016275,546.8144220016275,538.8881266505214,540.7407173527336,7.590638478514632,5.3,N,0,1,0.25503289880153984
STARLINK-3112,2021-104P,2026-04-10 09:31:18.309216,15.08840834,0.0001235,53.2168,86.5887,92.5928,267.5205,0,U,49421,999,24341,0.00012065,1.633e-05,0.0,5726.250115524113,6917.812780623919,546.812780623919,538.9584307455116,540.6671305023256,7.590639379023539,5.3,P,0,1,0.25450498357670986
STARLINK-3161,2021-104Q,2026-04-10 06:11:24.142848,15.0883608,0.0001885,53.2172,87.7223,81.4298,278.6907,0,U,49422,999,24338,8.0779e-06,-1.6e-06,0.0,5726.268157638436,6917.827311588162,546.827311588162,538.5233011399278,541.1313220363963,7.590631406913052,5.3,Q,0,1,0.2519304799995952
STARLINK-3135,2021-104S,2026-04-10 05:16:58.679040,15.0883633,0.00012443,53.2165,87.5761,85.761,274.3524,0,U,49424,999,24338,2.434512e-05,1e-06,0.0,5726.267208849617,6917.826547442159,546.8265474421587,538.9657622848608,540.6873325994575,7.590631826145194,5.3,S,0,1,0.2550560377344555
STARLINK-3139,2021-104T,2026-04-10 08:07:55.858080,15.08836512,0.0001275,53.2168,87.0546,83.8215,276.2923,0,U,49425,999,24341,3.7865e-05,3.15e-06,0.0,5726.266518131554,6917.825991144001,546.8259911440009,538.9439683301307,540.708013957872,7.590632131346166,5.3,T,0,1,0.25536083725487513
STARLINK-3114,2021-104U,2026-04-10 08:17:09.136896,15.08834493,0.0001467,53.2171,87.0124,86.7932,273.3228,0,U,49426,999,24340,0.00012886,1.763e-05,0.0,5726.274180557191,6917.832162391908,546.8321623919082,538.8173164136851,540.8470083701304,7.590628745626333,5.3,U,0,1,0.2542168805132075
STARLINK-3131,2021-104V,2026-04-10 08:02:38.019264,15.08833794,0.0001358,53.2165,87.0677,86.3332,273.7816,0,U,49427,999,24341,1.8087e-05,0.0,0.0,5726.276833377978,6917.834298948998,546.8342989489984,538.8948570512011,540.7737408467956,7.590627573452194,5.3,V,0,1,0.2546152889541298
STARLINK-3121,2021-104W,2026-04-10 09:10:07.381632,15.08837606,0.0001368,53.217,86.7593,88.7049,271.41,0,U,49428,999,24342,5.3904e-05,5.7e-06,0.0,5726.262366236383,6917.8226472442475,546.8226472442475,538.8762891061042,540.7690053823899,7.590633965905329,5.3,W,0,1,0.2552396328860865
