OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
ITAMSAT (IO-26),1993-061D,2026-04-10 10:51:36.094176,14.31349371,0.0007749,98.6872,167.7873,284.1986,75.8335,0,U,22826,999,69762,5.9629e-05,1.13e-06,0.0,6036.262127927396,7165.293581517572,794.2935815175724,781.7411955212547,792.8459675138902,7.4584016397707,33.3,D,4,1,0.1390236565630883
USA 119,1996-029A,2026-04-10 10:31:12.124992,13.46062257,0.0847796,63.3233,9.3702,48.1407,318.888,0,U,23893,999,9615,0.00044842,2.659e-05,0.0,6418.722429121642,7464.848400806067,1093.8484008060668,453.9815393250892,1719.7152622870453,7.307221384035784,30.3,A,4,-1,-0.14525233649358016
JAS-2 (FO-29),1996-046B,2026-04-10 08:43:55.682688,13.53270941,0.0348813,98.5327,318.4913,272.4564,83.6692,0,U,24278,999,46399,2.6701e-05,-1.2e-07,0.0,6384.530797369719,7438.315344418745,1067.3153444187446,800.8572353954714,1319.7734534420179,7.320242499491847,30.3,B,4,-1,-0.016685483120281064
FORTE,1997-047A,2026-04-10 10:14:17.024352,14.27916806,0.0021536,69.9532,167.0712,3.0925,357.0327,0,U,24920,999,48901,7.7394e-05,1.34e-06,0.0,6050.77268065994,7176.7720711436,805.7720711436004,783.3161748111861,814.2279674760148,7.452434789777654,29.3,A,4,1,0.09627040896248007
ORBCOMM FM06,1997-084G,2026-04-10 12:36:21.091968,14.47394041,0.0002064,45.0156,18.3951,320.2343,209.1931,0,U,25118,999,48458,0.00042556,1.43e-05,0.0,5969.348881684389,7112.242731758803,741.2427317588026,732.7747648589675,735.7106986586368,7.486166400894322,29.3,G,4,1,0.012719527640126904
ORBCOMM FM04,1998-007C,2026-04-10 12:41:23.974080,14.35605769,0.0038677,107.9603,30.1982,84.1834,276.3713,0,U,25159,999,46688,0.00037743,9.66e-06,0.0,6018.3653385694915,7151.123752783814,780.1237527838139,745.465351445172,800.7821541224557,7.465787330217832,28.3,C,4,1,0.04778711747090186
CELESTIS-02 & TAURUS R/B,1998-007D,2026-04-10 12:27:22.236768,14.22463884,0.0063715,108.0036,195.708,249.1079,121.4043,0,U,25160,999,46089,6.1558e-05,1e-07,0.0,6073.967920861462,7195.101496155606,824.1014961556057,771.2579069728508,862.9450853383605,7.442936247496516,28.3,D,4,1,0.07494110008062066
TECHSAT 1B (GO-32),1998-043D,2026-04-10 10:04:53.748192,14.24415103,0.0002225,99.0056,91.4774,68.8235,291.318,0,U,25397,999,44168,5.6061e-05,8.3e-07,0.0,6065.647564255011,7188.529242550637,817.5292425506368,808.9297947941695,812.1286903071041,7.446337895263531,28.3,D,4,1,0.14485320651730077
WESTPAC,1998-043E,2026-04-10 10:01:16.737312,14.2304959,0.0002216,99.0105,84.8744,64.7751,295.3656,0,U,25398,999,44130,1.893e-05,-4e-08,0.0,6071.467966200672,7193.127096348301,822.1270963483012,813.5330993837497,816.7210933128517,7.443957661648194,28.3,E,4,1,0.1347892823806482
ORBCOMM FM19,1998-046C,2026-04-10 13:00:22.530816,14.39364103,0.0003152,44.9934,205.0683,298.6806,75.8472,0,U,25415,999,44703,0.00036548,1.004e-05,0.0,6002.650741387845,7138.670095305747,767.670095305747,758.4199864917073,762.9202041197868,7.472296654936987,28.3,C,4,1,0.07705597086143617
ORBCOMM FM20,1998-046D,2026-04-10 08:18:45.434016,14.37967744,0.0001293,44.9935,213.1806,240.0554,120.0165,0,U,25416,999,44702,0.00031116,8.07e-06,0.0,6008.479700640629,7143.2907523351205,772.2907523351205,764.3671248408436,766.2143798293973,7.469879526296558,28.3,D,4,1,0.09191528022195244
ORBCOMM FM27,1998-053G,2026-04-10 05:22:04.509984,14.39014954,8.1e-06,45.0058,298.1247,283.0413,77.0427,0,U,25481,999,44044,0.00036131,9.83e-06,0.0,6004.107167881453,7139.824754951177,768.824754951177,761.7669223706625,761.8825875316925,7.471692416838642,28.3,G,4,1,0.05538878464668301
SCD 2,1998-060A,2026-04-10 03:48:37.436832,14.45500167,0.00169944,24.994,131.6802,123.7059,281.5699,0,U,25504,999,45047,5.859534e-05,3.92e-06,0.0,5977.169838680482,7118.45361631864,747.4536163186403,728.3562315049239,752.5510011323577,7.482899830359607,28.3,A,4,1,0.05657912390467057
ISS (ZARYA),1998-067A,2026-04-10 12:31:01.824096,15.48861768,0.0006412,51.6328,274.9695,295.7162,64.3164,0,U,25544,999,56126,0.00012746,6.547e-05,0.0,5578.289927807166,6798.127680440125,427.127680440125,415.7687209714268,424.48663990882324,7.657166714327303,28.3,A,4,1,0.0837822966177944
SWAS,1998-071A,2026-04-10 06:52:37.139808,15.09156767,0.0006451,69.8969,42.5576,329.6928,30.3862,0,U,25560,999,48702,0.00028527,4.439e-05,0.0,5725.051359094492,6916.847278273662,545.8472782736617,534.3852200944475,543.3093364528768,7.591169138040379,28.3,A,4,1,0.04778272276666601
ISS (UNITY),1998-069F,2026-04-10 12:31:01.824096,15.48861768,0.0006412,51.6328,274.9695,295.7162,64.3164,0,U,25575,999,56100,0.00012746,6.547e-05,0.0,5578.289927807166,6798.127680440125,427.127680440125,415.7687209714268,424.48663990882324,7.657166714327303,28.3,F,4,1,0.0837822966177944
DLR-TUBSAT,1999-029B,2026-04-10 12:07:04.466784,14.52409771,0.0013922,98.6686,93.7882,191.51,168.5778,0,U,25757,999,42342,4.242e-05,1.24e-06,0.0,5948.734422277582,7095.85908499547,724.8590849954699,707.9802299773391,727.7379400136006,7.494803832172147,27.3,B,4,1,0.13966062896697018
